,id,title
191,tt2310332,The Hobbit: The Battle of the Five Armies
192,tt1392170,The Hunger Games
193,tt0054215,Psycho
194,tt0083866,E.T. the Extra-Terrestrial
195,tt0079417,Kramer vs. Kramer
196,tt0328589,Under the Tuscan Sun
197,tt0407265,Transamerica
198,tt0910970,WALL·E
199,tt0066999,Dirty Harry
200,tt0121766,Star Wars: Episode III - Revenge of the Sith
201,tt0092005,Stand by Me
202,tt0087800,A Nightmare on Elm Street
203,tt0266543,Finding Nemo
204,tt0113409,In the Mouth of Madness
205,tt0119116,The Fifth Element
206,tt0167404,The Sixth Sense
207,tt0245712,Amores Perros
208,tt0107290,Jurassic Park
209,tt0106519,Carlito's Way
210,tt0106308,Army of Darkness
211,tt0095159,A Fish Called Wanda
212,tt0119217,Good Will Hunting
213,tt0051459,Cat on a Hot Tin Roof
214,tt0100802,Total Recall
215,tt0190332,"Crouching Tiger, Hidden Dragon"
216,tt0150662,Show Me Love
217,tt0315733,21 Grams
218,tt0101540,Cape Fear
219,tt0454848,Inside Man
220,tt0458481,Sin City: A Dame to Kill For
221,tt0107048,Groundhog Day
222,tt0102138,JFK
223,tt0265086,Black Hawk Down
224,tt0275491,Bad Education
225,tt0409459,Watchmen
226,tt2113681,The 100 Year-Old Man Who Climbed Out the Window and Disappeared
227,tt0300140,Lilya 4-Ever
228,tt0369702,The Sea Inside
229,tt0264464,Catch Me If You Can
230,tt0125664,Man on the Moon
231,tt0106246,Alive
232,tt0266987,Spy Game
233,tt0824747,Changeling
234,tt0976051,The Reader
235,tt0093773,Predator
236,tt0252503,Heist
237,tt0200465,The Bank Job
238,tt0090756,Blue Velvet
239,tt0146882,High Fidelity
240,tt0421715,The Curious Case of Benjamin Button
241,tt0116209,The English Patient
242,tt0032138,The Wizard of Oz
243,tt0032904,The Philadelphia Story
244,tt0053221,Rio Bravo
245,tt0372824,The Chorus
246,tt0399295,Lord of War
247,tt0120735,"Lock, Stock and Two Smoking Barrels"
248,tt0319061,Big Fish
249,tt0103873,Dead Alive
250,tt0258068,The Quiet American
251,tt0116922,Lost Highway
252,tt0181689,Minority Report
253,tt0765443,Eastern Promises
254,tt0240772,Ocean's Eleven
255,tt1067583,Water for Elephants
256,tt0314331,Love Actually
257,tt0257360,About Schmidt
258,tt0119314,The Horse Whisperer
259,tt0457430,Pan's Labyrinth
260,tt0121164,Corpse Bride
261,tt0063522,Rosemary's Baby
